Category,Item,Serving Size,Calories,Calories from fat,TotalFat,Saturated Fat(g),Trans fat(g),Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Total Sugar(g),Protein(g)
Snacks & Sides,Cheesy Tots,128,310,140,15,1,0,0,780,34,3,0,9
Snacks & Sides,French Fries - value (Salted),89,220,90,10,1.5,0,0,330,31,2,0,3
Snacks & Sides,French Fries - small  (Salted),128,320,130,14,2.5,0,0,480,44,3,0,4
Snacks & Sides,French Fries - medium (Salted),153,380,150,17,3,0,0,570,53,4,0,5
Snacks & Sides,French Fries - large (Salted),173,430,170,19,3.5,0,0,640,60,4,0,6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Breakfast,"Quaker® Oatmeal Maple Flavor (Artificialmaple flavor in Vermont only).",172,170,30,3,1.5,0,5,270,32,3,12,4
Breakfast,"Sausage, Egg, Cheese & Hash Brown Burrito",143,370,210,23,8,0,150,930,27,3,2,15
Breakfast,EGG-NORMOUS BurritoTM,362,910,490,55,16,0.5,320,2020,73,6,8,33
Breakfast,Supreme Breakfast Sandwich,312,880,530,59,21,1,375,2170,45,2,7,41
Breakfast,BKTM Ultimate Breakfast Platter,464,1190,590,66,15,0.5,320,2460,123,5,32,27
Breakfast,NY Ultimate Platter (Regional menu item),371,870,400,44,12,0,305,1650,95,4,31,22
Breakfast,Pancake and Sausage platter,217,610,280,31,9,0,80,1010,72,1,30,12
Breakfast,CROISSAN'WICH® Egg & Cheese,114,300,140,15,7,0,130,580,30,1,4,11
Breakfast,"CROISSAN'WICH® Sausage, Egg & Cheese",158,470,270,30,12,0,165,890,30,1,4,18
Breakfast,"CROISSAN'WICH® Ham, Egg & Cheese",145,330,140,16,7,0,145,1000,31,1,5,16
Breakfast,"CROISSAN'WICH® Bacon, Egg & Cheese",121,340,160,18,8,0,140,730,30,1,4,12
Breakfast,Fully Loaded CROISSAN'WICH®,218,610,360,40,17,0.5,225,1680,31,1,5,28
Breakfast,KING CROISSAN'WICHTM  w/ Double Sausage,216,700,460,51,20,0.5,210,1410,31,1,5,27
Breakfast,KING CROISSAN'WICHTM w/ Ham and Sausage,184,530,310,34,14,0.5,185,1280,31,1,5,23
Breakfast,Sausage Biscuit,118,390,230,25,6,0,35,1020,28,1,2,12
Breakfast,"Ham, Egg, & Cheese Biscuit",165,370,190,21,4,0,145,1500,30,1,3,16
Breakfast,"Sausage, Egg, & Cheese Biscuit",178,510,310,35,9,0,165,1390,29,1,2,18
Breakfast,"Bacon, Egg & Cheese Biscuit",141,380,200,23,5,0,140,1230,29,1,2,13
Breakfast,Fully Loaded Biscuit,235,610,380,42,20,0,225,2170,31,1,4,28
Breakfast,Cinnamon Roll- Otis Spunkmeyer®,79,280,100,11,6,0,15,280,41,2,22,4
Breakfast,Hash Browns - small,84,250,150,16,3.5,0,0,580,24,3,0,2
Breakfast,Hash Browns - medium,169,500,290,33,7,0,0,1140,48,7,0,4
Breakfast,Hash Browns - large,225,670,390,44,9,0,0,1530,65,9,0,5
Breakfast,French Toast Sticks (3 piece),65,230,100,11,2,0,0,260,29,1,8,3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Desserts,Dutch Apple Pie,107,340,130,14,6,0,0,310,51,1,25,3
Desserts,HERSHEY®'S Sundae Pie,79,310,170,19,12,0,10,220,32,1,22,3
Desserts,Reese's Peanut Butter Cup Pie,70,310,170,19,10,0,5,200,31,2,21,5
Desserts,Pie made with SNICKERS®,81,300,140,16,9,0,5,230,36,1,25,4
Desserts,Soft Serve Cone,120,190,40,4.5,3,0,20,150,32,0,24,5
Desserts,Soft Serve Cup,115,170,40,4.5,3,0,20,150,28,0,24,5
Desserts,Caramel Sundae,153,290,60,6,4,0,25,260,53,0,39,6
Desserts,Chocolate Fudge Sundae,147,280,60,7,5,0,20,220,47,1,41,6
Desserts,Butter Sugar Cookie,36,160,60,7,3.5,0,15,135,22,0,12,2
Desserts,Carnival Cookie,36,160,60,7,3,0,10,120,22,1,14,2
Desserts,"Red, White & Blue Cookie",36,160,50,6,3,0,5,125,23,0,14,1
Desserts,Ginger Spice Cookie,38,150,45,5,2.5,0,10,135,25,1,13,2
Desserts,Chocolate Chip Cookies (2),76,330,140,15,8,0,20,250,47,1,29,3
